Orders,Jordan,Gatorade,Samsung,Asus,Udis,Mondelez International,Wrangler,Vans,Fila,Brooks,H&M,Dairy Queen,Fendi,Hewlett Packard,Pladis,Asics,Siemens,J.M. Smucker,Pop Chips,Juniper,Huawei,Compaq,IBM,Burberry,Mi,LG,Dior,Scabal,Tommy Hilfiger,Hollister,Forever 21,Colavita,Microsoft,Jiffy mix,Kraft
5324,797,736,550,354,264,350,340,408,183,657,1066,2964,599,374,1818,1170,115,2940,1601,1216,481,230,52,4101,431,989,916,749,940,271,234,1386,604,905,1035
24359,4001,3572,2799,2753,2546,1672,1757,1358,942,1670,4158,831,1219,1514,383,1903,196,5248,1651,4831,3794,1399,290,3542,1475,712,3641,5178,1851,1558,1135,1061,910,431,200
95411,3225,3262,3339,1733,1496,2171,1111,1577,1703,1877,4622,2485,2426,2945,982,5934,1131,14456,4185,8078,3465,1934,617,5198,1734,1375,3577,5175,1978,501,351,3319,1977,1305,892
